company_name,description,category,location,source,cleaned_description,combined,cluster,cluster_name,cluster_quality,tags,startup_cluster,startup_cluster_name,startup_cluster_quality
Qwery Ninja,market Consumers Survey stage  employees  location Mexico City,Consumers Survey,Mexico City,angellist,market consumers survey stage employees location mexico city,Qwery Ninja market consumers survey stage employees location mexico city Consumers Survey,4,BPO / Telecom / Retail Operations,mixed,B2C,4,Developer Tools / Infra,mixed
Credible,market Consumer Lending stage  employees 1-10 location Tel Aviv-Yafo,Consumer Lending,Tel Aviv-Yafo,angellist,market consumer lending stage employees 1 10 location tel aviv yafo,Credible market consumer lending stage employees 1 10 location tel aviv yafo Consumer Lending,4,BPO / Telecom / Retail Operations,mixed,"Fintech, B2C",4,Developer Tools / Infra,mixed
Naborly,market Rental Housing stage  employees 11-50 location Toronto,Rental Housing,Toronto,angellist,market rental housing stage employees 11 50 location toronto,Naborly market rental housing stage employees 11 50 location toronto Rental Housing,4,BPO / Telecom / Retail Operations,mixed,Other,4,Developer Tools / Infra,mixed
pitchLove,market Market Research stage  employees 1-10 location Portland,Market Research,Portland,angellist,market market research stage employees 1 10 location portland,pitchLove market market research stage employees 1 10 location portland Market Research,4,BPO / Telecom / Retail Operations,mixed,Other,4,Developer Tools / Infra,mixed
Trigon Health,market Big Data Analytics stage  employees  location Washington DC,Big Data Analytics,Washington DC,angellist,market big data analytics stage employees location washington dc,Trigon Health market big data analytics stage employees location washington dc Big Data Analytics,4,BPO / Telecom / Retail Operations,mixed,HealthTech,5,Marketplace / Creator Economy,mixed
QM Scientific,market Retail Technology stage  employees 1-10 location San Jose,Retail Technology,San Jose,angellist,market retail technology stage employees 1 10 location san jose,QM Scientific market retail technology stage employees 1 10 location san jose Retail Technology,4,BPO / Telecom / Retail Operations,mixed,AI,4,Developer Tools / Infra,mixed
RoomDots,market Rental Housing stage  employees 1-10 location New York City,Rental Housing,New York City,angellist,market rental housing stage employees 1 10 location new york city,RoomDots market rental housing stage employees 1 10 location new york city Rental Housing,4,BPO / Telecom / Retail Operations,mixed,Other,4,Developer Tools / Infra,mixed
Perxity,market Nonprofits stage  employees 1-10 location Los Angeles,Nonprofits,Los Angeles,angellist,market nonprofits stage employees 1 10 location los angeles,Perxity market nonprofits stage employees 1 10 location los angeles Nonprofits,4,BPO / Telecom / Retail Operations,mixed,Other,4,Developer Tools / Infra,mixed
Cooplo,market Reviews and Recommendations stage  employees  location New York City,Reviews and Recommendations,New York City,angellist,market reviews and recommendations stage employees location new york city,Cooplo market reviews and recommendations stage employees location new york city Reviews and Recommendations,4,BPO / Telecom / Retail Operations,mixed,Other,4,Developer Tools / Infra,mixed
Emerj,market Mentorship stage  employees 1-10 location Tel Aviv-Yafo,Mentorship,Tel Aviv-Yafo,angellist,market mentorship stage employees 1 10 location tel aviv yafo,Emerj market mentorship stage employees 1 10 location tel aviv yafo Mentorship,4,BPO / Telecom / Retail Operations,mixed,Other,4,Developer Tools / Infra,mixed
